Salary,Age,Weight,Name
15851950.0,25.0,270.0,DeMarcus Cousins
947276.0,25.0,185.0,Seth Curry
525093.0,24.0,220.0,Duje Dukan
12403101.0,29.0,230.0,Rudy Gay
7700000.0,27.0,265.0,Kosta Koufos
3156600.0,23.0,195.0,Ben McLemore
845059.0,24.0,238.0,Eric Moreland
9500000.0,30.0,186.0,Rajon Rondo
845059.0,25.0,250.0,Cameron Bairstow
2250000.0,31.0,161.0,Aaron Brooks
16407500.0,26.0,220.0,Jimmy Butler
4500000.0,35.0,230.0,Mike Dunleavy
525093.0,23.0,275.0,Cristiano Felicio
7448760.0,35.0,250.0,Pau Gasol
8500000.0,30.0,225.0,Taj Gibson
947276.0,27.0,185.0,Justin Holiday
2380440.0,24.0,225.0,Doug McDermott
5543725.0,25.0,220.0,Nikola Mirotic
1015421.0,27.0,191.0,E'Twaun Moore
13400000.0,31.0,232.0,Joakim Noah
1391160.0,21.0,230.0,Bobby Portis
20093064.0,27.0,190.0,Derrick Rose
1535880.0,24.0,200.0,Tony Snell
1147276.0,25.0,198.0,Matthew Dellavedova
8193029.0,33.0,255.0,Channing Frye
16407501.0,24.0,193.0,Kyrie Irving
22970500.0,31.0,250.0,LeBron James
947276.0,35.0,233.0,Richard Jefferson
,35.0,225.0,Dahntay Jones
947276.0,35.0,218.0,James Jones
1276000.0,31.0,260.0,Sasha Kaun
19689000.0,27.0,251.0,Kevin Love
111196.0,25.0,179.0,Jordan McRae
4950000.0,29.0,275.0,Timofey Mozgov
8988765.0,25.0,220.0,Iman Shumpert
5000000.0,30.0,225.0,J.R. Smith
14260870.0,25.0,238.0,Tristan Thompson
2100000.0,33.0,198.0,Mo Williams
2500000.0,33.0,245.0,Joel Anthony
6500000.0,29.0,260.0,Aron Baynes
2170465.0,36.0,172.0,Steve Blake
111444.0,25.0,189.0,Lorenzo Brown
1252440.0,25.0,205.0,Reggie Bullock
2891760.0,23.0,205.0,Kentavious Caldwell-Pope
845059.0,23.0,200.0,Spencer Dinwiddie
3272091.0,22.0,279.0,Andre Drummond
16000000.0,23.0,235.0,Tobias Harris
600000.0,23.0,205.0,Darrun Hilliard
13913044.0,26.0,208.0,Reggie Jackson
2841960.0,20.0,245.0,Stanley Johnson
6270000.0,28.0,210.0,Jodie Meeks
5000000.0,26.0,235.0,Marcus Morris
3000000.0,31.0,240.0,Anthony Tolliver
4050000.0,27.0,255.0,Lavoy Allen
1007026.0,24.0,250.0,Rakeem Christmas
10300000.0,30.0,185.0,Monta Ellis
17120106.0,26.0,220.0,Paul George
8000000.0,30.0,188.0,George Hill
4000000.0,28.0,235.0,Jordan Hill
1358880.0,25.0,225.0,Solomon Hill
211744.0,28.0,195.0,Ty Lawson
4000000.0,29.0,250.0,Ian Mahinmi
4394225.0,29.0,231.0,C.J. Miles
1100000.0,22.0,222.0,Glenn Robinson III
7000000.0,30.0,205.0,Rodney Stuckey
2357760.0,20.0,243.0,Myles Turner
845059.0,25.0,250.0,Shayne Whittington
1007026.0,23.0,180.0,Joe Young
1953960.0,21.0,222.0,Giannis Antetokounmpo
3000000.0,27.0,200.0,Jerryd Bayless
2399040.0,24.0,190.0,Michael Carter-Williams
